"MMSI","TSTAMP","LATITUDE","LONGITUDE","COG","SOG","HEADING","NAVSTAT","IMO","NAME","CALLSIGN","TYPE","A","B","C","D","DRAUGHT","DEST","ETA"
211514720,"2016-02-29 15:53:05 GMT",51.21054,6.6919,274.9,0,511,0,0,"LUCAS","DB2501",79,67,0,4,4,1.4,"STRAENBRUCKE S","01-27 10:42"
413825649,"2016-02-29 15:47:59 GMT",31.49645,121.37131,0,0,0,0,0,"FENGSHUN19HAO","",70,50,10,3,7,0,"","00-00 00:00"
244730015,"2016-02-29 15:53:09 GMT",53.18038,5.50911,72.5,5.1,511,15,0,"AMALFI","PF4828",33,60,10,1,7,0,"","00-00 24:60"
218264000,"2016-02-29 15:53:12 GMT",53.64723,5.85954,330.7,9.7,335,0,0,"AQUARIUS SK18","DFOL",30,16,8,3,3,4.5,"FISHING GROUNDS","07-02 22:00"
345030013,"2016-02-29 15:52:33 GMT",19.20861,-96.13678,226.1,0,237,5,9237814,"ANGIMAR","XCLK9",80,90,9,7,9,6.2,"COATZACOALCOS","06-29 03:00"
566163000,"2016-02-29 15:34:13 GMT",1.22922,103.70299,185,5.1,159,5,9735256,"ESTRELLA","9V2696",80,70,20,5,10,0,"SINGAPORE","00-00 24:60"
636016367,"2016-02-29 15:42:13 GMT",40.84364,29.27215,272.9,0.1,38,5,9207027,"KRITI SPIRIT","D5FU7",89,231,43,27,21,9.5,"TUZLA","02-09 20:00"
319257000,"2016-02-29 15:53:16 GMT",25.73608,-80.22025,201,0.1,42,0,0,"BEOTHUK","ZCXL3",37,15,16,4,4,2.2,"MIAMI","09-04 00:00"
205026000,"2016-02-29 15:53:09 GMT",51.46057,2.98931,36.7,4,511,7,0," FV O82 NAUTILUS","OPDD",30,15,5,3,3,3.2,"FISHING GROUNDS","00-00 24:60"
273342420,"2016-02-29 15:39:37 GMT",46.73713,38.22429,299,0,56,1,7811044,"SIBIRSKIY-2112","UBXE8",70,105,25,2,14,2.8,"YEISK","02-25 19:00"
235110913,"2016-02-29 15:53:17 GMT",51.61178,1.50113,250,20.4,248,0,0,"CWIND ARTIMUS","2IME4",40,5,17,4,4,1.8,"RAMSGATE<>LAWINDFARM","02-26 18:00"
413846874,"2016-02-29 15:44:53 GMT",35.22608,119.42261,0,0,0,0,0,"DONGTINGHU998","",70,55,20,6,7,0,"","00-00 00:00"
316001885,"2016-02-29 15:53:03 GMT",50.02331,-125.23841,0,0,511,0,0,"ISLAND NAVIGATOR","",52,5,13,5,1,2.5,"HOWE SOUND","00-00 24:60"
367572030,"2016-02-29 15:51:24 GMT",26.25874,-80.08194,148.3,7.3,511,0,0,"PORDAVINO","WDH5433",37,0,0,0,0,0,"","00-00 00:00"
